"English Words","French words"
"Hello","Bonjour"
"House","Maison"
"Run","Courir"
"Go","Partir"
"Excuse me","Excusez-moi"
"Thank you","Merci"
"Day","Jour"
"Fight","Battre"
"Yes","Oui"
"No","Non"
"Girl","Fille"
"Boy","Garçon"
"Woman","Femme"
"Man","Homme"
"Friend","Ami"
"French","Francais"
"English","Anglais"
"Strong","Forte"
"Window","Fenêtre"
"Floor","Plancher"
"Time","Temps"
"Night","Nuit"
"Cat","Chat"
"Dog","Chien"
"Weak","Faible"
"Reason","Raison"
"Ok","D'accord"
"Where","Où"
"When","Quand"
"What","Quoi"
"Who","Qui"
"Why","Pourquoi"
"Fast","Vite"
"Slow","Lent"
"Hear","Entendre"
"See","Voire"
"Touch","Toucher"
"Map","Carte"
"January","Janvier"
"Febuary","Février"
"March","Mars"
"April","Avril"
"May","Mai"
"June","Juin"
"July","Juillet"
"August","Août"
"September","Septembre"
"October","Octobre"
"November","Novembre"
"December","Décembre"
"Christmas","Noël"
"Love","Amour"
"Hate","Détester"
"Wine","Vin"
"Beer","Bière"
"Cream","Crème"
"Yogurt","Yoghourt"
"Cofee","Café"
"Bread","Pain"
"Egg","Oeuf"
"Milk","Lait"
"Drink ","Boire"
"School","École"
"Elementary","Élémentaire"
"Ice","Glace"
"Ice cream","Crème glacée"
"Jump","Sauter"
"Hide","Cacher"
"Bus","Autobus"
"Road","Route"
"Airplane","Avion"
"Tea","Thé"
"Cup","Tasse"
"Plate","Assiette"
"Bowl","Bol"
"Fork","Fourchette"
"Spoon","Cuillère"
"Knife","Couteau"
"Paper","Papier"
"Napkin","Serviette"
"Pants","Pantalons"
"Shirt","Chemise"
"Jacket","Veste"
"Hat","Chapeau"
"Glasses","Lunettes"
"Ear","Oreille"
"Eyes","Yeux"
"You","Tu"
"She","Elle"
"He","Il"
"We","Nous"
"They","Vous"
"Cow","Vache"
"Mouse","Souris"
"Keyboard","Clavier"
"Computer","Ordinateur"
"Water","L'eau"
"Hot","Chaud"
"Cold ","Froide"